Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
280.523	0.0382254	276.335	0	2						0.5414258	359.7917	358.8994	
280.544	0.06023785	276.357	0	2						0.6913753	359.753	358.9094	
280.566	0.08274888	276.3795	0	2						0.7833514	359.7019	358.8822	
280.585	0.100979	276.3978	0	2						0.8905509	359.6744	358.8545	
280.605	0.1213377	276.4181	0	2						0.9886276	359.6463	358.7837	
280.624	0.1406104	276.4374	0	2						1.065945	359.6189	358.713	
280.644	0.160774	276.4576	0	2						1.135116	359.5721	358.6667	
280.668	0.1837231	276.4805	0	2						1.222694	359.4928	358.609	
280.689	0.2051138	276.5019	0	2						1.335619	359.407	358.5505	
280.709	0.2250502	276.5218	0	2						1.470207	359.2938	358.5203	
280.729	0.2449186	276.5417	0	2						1.444386	359.2223	358.4518	
280.748	0.2644434	276.5612	0	2						1.486351	359.181	358.4223	
280.767	0.2831831	276.58	0	2						1.506655	359.1343	358.3999	
280.791	0.3068181	276.6036	0	2						1.555004	359.0618	358.3645	
280.813	0.3295437	276.6263	0	2						1.564326	359.0015	358.3398	
280.836	0.3518848	276.6487	0	2						1.552402	358.9834	358.3362	
280.860	0.3765611	276.6733	0	2						1.544811	358.9898	358.3356	
280.883	0.3981615	276.6949	0	2						1.509276	359.0133	358.3176	
280.907	0.4233969	276.7202	0	2						1.483553	359.0677	358.3703	
280.926	0.4424728	276.7393	0	2						1.442718	359.1093	358.3645	
280.951	0.466621	276.7634	0	2						1.413033	359.1707	358.4333	
280.971	0.4884391	276.7852	0	2						1.353322	359.3107	358.49	
280.995	0.5116782	276.8085	0	2						1.346229	359.3585	358.5414	
281.017	0.5333711	276.8302	0	2						1.34099	359.3643	358.5706	
281.039	0.5560777	276.8529	0	2						1.300348	359.4302	358.6217	
281.071	0.5873448	276.8841	0	2						1.277572	359.468	358.6248	
281.092	0.6085415	276.9053	0	2						1.258571	359.4941	358.6597	
281.109	0.6259349	276.9227	0	2						1.252748	359.5169	358.6712	
281.128	0.6450306	276.9418	0	2						1.243259	359.516	358.6875	
281.149	0.6656702	276.9625	0	2						1.275569	359.5163	358.6881	
281.169	0.6853356	276.9821	0	2						1.271689	359.5123	358.6703	
281.188	0.7041627	277.0009	0	2						1.293182	359.5158	358.6565	
281.208	0.7235156	277.0203	0	2						1.320413	359.5302	358.6323	
281.225	0.7425659	277.0393	0	2						1.327405	359.5438	358.6203	
281.244	0.7608458	277.0576	0	2						1.344659	359.5562	358.6101	
281.267	0.7833667	277.0801	0	2						1.339229	359.5927	358.6104	
281.289	0.8054989	277.1023	0	2						1.345309	359.6273	358.5939	
281.308	0.8249506	277.1217	0	2						1.348088	359.6598	358.5718	
281.330	0.8463404	277.1431	0	2						1.380458	359.7012	358.5817	
281.351	0.8675722	277.1644	0	2						1.410722	359.7106	358.5698	
281.371	0.8879385	277.1847	0	2						1.473492	359.7057	358.5617	
281.394	0.9100774	277.2068	0	2						1.518128	359.7102	358.5745	
281.417	0.9334287	277.2302	0	2						1.56348	359.6905	358.5771	
281.438	0.9549358	277.2517	0	2						1.489864	359.6288	358.6087	
281.462	0.9786897	277.2755	0	2						1.421577	359.6347	358.5945	
281.482	0.9978961	277.2947	0	2						1.416844	359.603	358.6326	
281.507	1.022147	277.3189	0	2						1.379112	359.5637	358.6329	
281.530	1.046106	277.3429	0	2						1.355981	359.5511	358.6296	
281.551	1.066522	277.3633	0	2						1.350258	359.5169	358.6461	
281.571	1.088482	277.3853	0	2						1.379013	359.4855	358.6564	
281.594	1.110553	277.4073	0	2						1.372191	359.4967	358.6577	
281.626	1.142372	277.4391	0	2						1.364084	359.5172	358.6472	
281.646	1.162305	277.4591	0	2						1.360214	359.5478	358.631	
281.665	1.180943	277.4777	0	2						1.374112	359.5917	358.6166	
281.685	1.201443	277.4982	0	2						1.379797	359.6292	358.6087	
281.705	1.221504	277.5183	0	2						1.354741	359.6797	358.6019	
281.726	1.241621	277.5384	0	2						1.363011	359.731	358.613	
281.748	1.264071	277.5609	0	2						1.342638	359.8802	358.5924	
281.771	1.287853	277.5846	0	2						1.328202	0.2255885	358.5276	
281.794	1.309864	277.6067	0	2						1.359609	1.102716	358.407	
281.815	1.331725	277.6285	0	2						1.158682	2.810163	358.0215	
281.838	1.354802	277.6516	0	2						0.6099958	6.141464	357.4396	
281.861	1.377494	277.6743	0	2						0.3145048	10.56573	357.1897	
281.884	1.400875	277.6977	0	2						0.1787611	16.03412	356.6373	
281.906	1.422336	277.7191	0	2						0.04509329	21.88825	356.1955	
281.928	1.444318	277.7411	0	2						359.9728	27.1743	355.9061	
281.951	1.467248	277.764	0	2						359.9884	31.73114	355.3575	
281.976	1.492197	277.789	0	2						0.0503925	35.80243	354.4764	
281.995	1.511369	277.8082	0	2						0.1671046	39.55701	353.9346	
282.018	1.533865	277.8307	0	2						0.34538	42.66793	353.4727	
282.041	1.557453	277.8542	0	2						0.5481784	45.11349	353.0728	
282.063	1.57866	277.8755	0	2						0.5423523	46.89503	352.6845	
282.084	1.600262	277.897	0	2						0.732901	48.22739	352.2398	
282.110	1.625133	277.9219	0	2						0.8175937	48.63426	351.9292	
282.128	1.644137	277.9409	0	2						0.8032625	47.92909	351.823	
282.152	1.668409	277.9652	0	2						0.6762207	46.72808	351.7781	
282.174	1.690414	277.9872	0	2						0.4862801	44.5255	351.75	
282.209	1.725171	278.0219	0	2						0.1840854	41.57524	351.9701	
282.226	1.74329	278.0401	0	2						359.9434	37.60074	352.2058	
282.246	1.762901	278.0597	0	2						359.6827	33.93552	352.4872	
282.266	1.782435	278.0792	0	2						359.4027	30.19401	352.8185	
282.285	1.801995	278.0988	0	2						359.1138	26.43865	353.2019	
282.305	1.821299	278.1181	0	2						358.9205	22.85009	353.7232	
282.325	1.8419	278.1387	0	2						358.8168	19.30266	354.3466	
282.350	1.866019	278.1628	0	2						358.809	15.71702	355.0612	
282.373	1.889523	278.1863	0	2						358.9911	12.47252	355.5305	
282.392	1.908434	278.2052	0	2						359.0779	9.470576	355.9567	
282.417	1.932426	278.2292	0	2						359.235	6.632362	356.4168	
282.440	1.955827	278.2526	0	2						359.3812	4.153321	356.7637	
282.462	1.977877	278.2747	0	2						359.4433	2.584192	356.7941	
282.486	2.001549	278.2983	0	2						359.4488	1.829521	356.9878	
282.508	2.023724	278.3205	0	2						359.5576	1.546106	356.9167	
282.529	2.046187	278.343	0	2						359.6637	1.392606	356.7531	
282.554	2.070365	278.3672	0	2						359.7244	1.347748	356.4779	
282.574	2.090596	278.3874	0	2						359.7648	1.384999	356.2468	
282.597	2.113451	278.4102	0	2						359.8739	1.40482	355.9492	
282.620	2.136835	278.4336	0	2						359.8579	1.386008	355.6541	
282.643	2.159568	278.4564	0	2						359.7134	1.375626	355.4344	
282.662	2.178215	278.475	0	2						359.7425	1.328637	355.183	
282.686	2.20229	278.4991	0	2						359.7179	1.239109	354.9266	
282.708	2.224256	278.521	0	2						359.6209	1.104086	354.6602	
282.730	2.246428	278.5432	0	2						359.5852	1.036225	354.4948	
282.765	2.280456	278.5772	0	2						359.4653	0.9876208	354.3327	
282.784	2.300437	278.5972	0	2						359.3359	1.006214	354.3783	
282.805	2.32127	278.618	0	2						359.3154	1.007128	354.3705	
282.826	2.341592	278.6384	0	2						359.1974	1.012936	354.4098	
282.844	2.361193	278.658	0	2						358.9943	0.9871383	354.4704	
282.865	2.3821	278.6789	0	2						358.9472	0.9318899	354.5225	
282.884	2.401299	278.6981	0	2						358.8312	0.8256701	354.6484	
282.905	2.421841	278.7186	0	2						358.6966	0.6205256	354.765	
282.925	2.441828	278.7386	0	2						358.6007	0.3651602	354.8929	
282.948	2.464365	278.7611	0	2						358.5345	0.06433222	355.0593	
282.965	2.48141	278.7782	0	2						358.5215	359.8426	355.1329	
282.986	2.502208	278.799	0	2						358.4717	359.5067	355.2993	
283.003	2.519606	278.8164	0	2						358.4246	359.1623	355.4292	
283.024	2.539925	278.8367	0	2						358.4199	358.5633	355.7152	
283.043	2.559409	278.8562	0	2						358.4289	358.623	355.6202	
283.065	2.581225	278.878	0	2						358.4595	358.4391	355.6667	
283.084	2.600329	278.8971	0	2						358.4706	358.2957	355.6566	
283.108	2.623793	278.9206	0	2						358.4985	358.2619	355.6563	
283.127	2.643731	278.9405	0	2						358.5492	358.2586	355.6219	
283.151	2.66664	278.9634	0	2						358.6018	358.2796	355.5831	
283.175	2.690824	278.9876	0	2						358.7044	358.409	355.5251	
283.194	2.709885	279.0067	0	2						358.829	358.5765	355.4336	
283.217	2.733882	279.0307	0	2						359.018	358.697	355.3937	
283.238	2.754865	279.0516	0	2						359.0803	358.6891	355.4238	
283.261	2.777556	279.0743	0	2						359.1615	358.468	355.4607	
283.285	2.801913	279.0987	0	2						359.1413	357.532	355.5811	
283.322	2.823708	279.1205	0	2						359.0024	355.1336	355.7021	
283.341	2.856709	279.1535	0	2						358.638	351.2832	356.0183	
283.362	2.878508	279.1753	0	2						358.0993	345.6937	356.4868	
283.380	2.897132	279.1939	0	2						357.4989	339.8195	356.9521	
283.399	2.915644	279.2124	0	2						356.9129	333.702	357.4338	
283.418	2.934497	279.2313	0	2						356.3947	327.5785	358.1313	
283.438	2.954057	279.2509	0	2						355.912	321.9942	358.7346	
283.460	2.975905	279.2727	0	2						355.7283	316.9856	359.1681	
283.480	2.996553	279.2933	0	2						355.8089	312.7044	359.4059	
283.507	3.022859	279.3196	0	2						355.9552	309.2682	359.4557	
283.528	3.044196	279.341	0	2						356.029	306.8981	359.5952	
283.550	3.065071	279.3618	0	2						356.1559	304.9659	359.4686	
283.572	3.089202	279.386	0	2						356.1926	303.5573	359.262	
283.595	3.111648	279.4084	0	2						356.3046	302.7132	359.0175	
283.618	3.134754	279.4315	0	2						356.4305	301.9616	358.796	
283.639	3.156024	279.4528	0	2						356.5562	301.2796	358.6219	
283.663	3.179568	279.4763	0	2						356.7777	300.4297	358.4947	
283.683	3.199694	279.4965	0	2						357.0276	299.5015	358.4539	
283.706	3.222536	279.5193	0	2						357.3211	298.6646	358.4082	
283.728	3.244703	279.5415	0	2						357.6321	298.0348	358.3033	
283.752	3.268245	279.565	0	2						357.9236	297.6976	358.2152	
283.774	3.290176	279.587	0	2						358.1679	297.5436	358.2518	
283.796	3.312652	279.6094	0	2						358.378	297.4974	358.3488	
283.819	3.334758	279.6315	0	2						358.5218	297.5754	358.5475	
283.843	3.359141	279.6559	0	2						358.6093	297.6104	358.6303	
283.862	3.378721	279.6755	0	2						358.597	297.5877	358.7183	
283.903	3.41887	279.7157	0	2						358.5715	297.5652	358.7379	
283.922	3.43816	279.735	0	2						358.5767	297.7476	358.7837	
283.943	3.45937	279.7562	0	2						358.6231	298.2667	358.6458	
283.961	3.477797	279.7746	0	2						358.7066	299.4213	358.3483	
283.983	3.499155	279.7959	0	2						358.8167	301.4247	357.9578	
284.003	3.51919	279.816	0	2						358.7899	303.3581	357.8028	
284.021	3.538408	279.8352	0	2						358.8147	307.2084	357.5125	
284.044	3.559881	279.8567	0	2						358.8956	311.7807	357.2261	
284.066	3.582258	279.879	0	2						359.0085	316.8007	356.8823	
284.084	3.601175	279.8979	0	2						359.2531	323.5433	356.4104	
284.106	3.621518	279.9183	0	2						359.4166	329.3428	355.9643	
284.125	3.641972	279.9388	0	2						359.5623	333.8105	355.6815	
284.144	3.660725	279.9575	0	2						359.5707	337.8532	355.5154	
284.165	3.681535	279.9783	0	2						359.6913	341.4134	355.3752	
284.183	3.700186	279.997	0	2						359.5775	344.231	355.2574	
284.204	3.721023	280.0178	0	2						359.6476	346.8873	354.9297	
284.225	3.741653	280.0384	0	2						359.7524	349.2901	354.8391	
284.245	3.761634	280.0584	0	2						359.7071	348.7877	355.0674	
284.263	3.779662	280.0764	0	2						359.6757	350.7421	355.1347	
284.286	3.802019	280.0988	0	2						359.656	352.6445	355.0527	
284.307	3.823899	280.1207	0	2						359.6781	354.3356	354.8967	
284.330	3.845868	280.1426	0	2						359.6329	355.6807	354.9085	
284.352	3.8685	280.1653	0	2						359.5204	356.7917	354.9139	
284.373	3.889114	280.1859	0	2						359.4461	357.7509	354.9635	
284.394	3.910441	280.2072	0	2						359.3075	358.5297	355.0385	
284.432	3.947979	280.2448	0	2						359.2342	359.0911	355.123	
284.449	3.965552	280.2623	0	2						359.121	359.3284	355.2737	
284.469	3.985279	280.2821	0	2						359.0658	359.604	355.4079	
284.487	4.004475	280.3013	0	2						359.0228	359.7083	355.5042	
284.510	4.026393	280.3232	0	2						358.9241	359.6597	355.6016	
284.531	4.047904	280.3447	0	2						358.9052	359.612	355.7117	
284.550	4.067278	280.3641	0	2						358.9015	359.5272	355.8172	
284.571	4.087094	280.3839	0	2						358.8888	359.4154	355.907	
284.591	4.107939	280.4047	0	2						358.979	359.2061	356.0724	
284.611	4.128135	280.4249	0	2						359.1282	358.9866	356.2082	
284.635	4.151703	280.4485	0	2						359.2665	358.7431	356.3618	
284.657	4.17385	280.4706	0	2						359.4526	358.5015	356.4601	
284.680	4.196888	280.4937	0	2						359.6258	358.256	356.5363	
284.707	4.223106	280.5199	0	2						0.01210794	358.0637	356.5612	
284.726	4.242613	280.5394	0	2						0.4174131	357.8631	356.5507	
284.750	4.265917	280.5627	0	2						0.8422404	357.7003	356.6017	
284.774	4.290458	280.5872	0	2						1.376209	357.675	356.6124	
284.793	4.309034	280.6058	0	2						1.826886	357.6638	356.5113	
284.819	4.334709	280.6315	0	2						2.247218	357.7919	356.3789	
284.840	4.35589	280.6527	0	2						2.710201	358.0383	356.2123	
284.862	4.379146	280.6759	0	2						2.930269	358.3895	356.1494	
284.884	4.400815	280.6976	0	2						3.03523	358.8358	355.9304	
284.907	4.423699	280.7205	0	2						3.33468	359.326	355.7642	
284.929	4.445222	280.742	0	2						3.483737	359.8144	355.6461	
284.950	4.466753	280.7635	0	2						3.403354	0.2951844	355.5864	
284.975	4.491057	280.7878	0	2						3.485471	0.6316532	355.4945	
285.007	4.523132	280.8199	0	2						3.443024	0.9061201	355.4695	
285.026	4.5425	280.8393	0	2						3.260912	1.029535	355.3703	
285.045	4.561117	280.8579	0	2						3.113016	1.149195	355.3146	
285.065	4.580771	280.8776	0	2						2.916751	1.155936	355.307	
285.085	4.601369	280.8982	0	2						2.673314	1.120363	355.3383	
285.105	4.621336	280.9181	0	2						2.45131	0.9689338	355.3677	
285.126	4.642313	280.9391	0	2						2.201291	0.8304731	355.3934	
285.149	4.664961	280.9617	0	2						1.927978	0.685161	355.4096	
285.172	4.687918	280.9847	0	2						1.656633	0.5345051	355.4691	
285.195	4.711434	281.0082	0	2						1.383497	0.3614915	355.5566	
285.218	4.733516	281.0303	0	2						1.160221	0.2121756	355.6467	
285.238	4.755435	281.0522	0	2						0.9515143	0.07690655	355.7718	
285.260	4.777426	281.0742	0	2						0.7076747	359.9535	355.8312	
285.282	4.799152	281.0959	0	2						0.5363351	359.8926	355.9207	
285.300	4.817023	281.1138	0	2						0.4862328	359.8494	355.9696	
285.321	4.837197	281.134	0	2						0.5418021	359.9097	355.9408	
285.341	4.857681	281.1545	0	2						0.5191231	359.9523	355.9554	
285.361	4.876758	281.1736	0	2						0.4349529	0.05646585	355.9805	
285.382	4.898102	281.1949	0	2						0.4200407	0.1852908	355.9807	
285.404	4.920084	281.2169	0	2						0.4872732	0.3364867	355.9528	
285.422	4.938554	281.2354	0	2						0.5039911	0.4796278	355.9413	
285.443	4.938554	281.2536	1	3	120	0	0.2598076	0	-0.15	0.0001563616	0.05391587	0.08382175	
285.443	4.956796	281.2536	0	3						0.4917996	0.6006043	355.9231	
285.462	4.978673	281.2755	0	3						0.4827665	0.7995222	355.881	
285.485	5.001556	281.2983	0	3						0.488215	1.084405	355.8127	
285.505	5.022016	281.3188	0	3						0.5173823	1.25471	355.7689	
285.532	5.046826	281.3436	0	3						0.5371183	1.293837	355.7595	
285.565	5.08057	281.3773	0	3						0.5549555	1.375416	355.7622	
285.584	5.101356	281.3981	0	3						0.5440602	1.368083	355.7743	
285.603	5.119756	281.4165	0	3						0.5572481	1.350102	355.7943	
285.620	5.137548	281.4343	0	3						0.5991983	1.22672	355.8251	
285.640	5.156197	281.453	0	3						0.6077687	1.096775	355.8716	
285.658	5.175006	281.4718	0	3						0.5740863	0.9098787	355.9137	
285.679	5.195331	281.4921	0	3						0.5624952	0.7394855	355.9702	
285.699	5.214782	281.5116	0	3						0.6252763	0.5947725	356.0127	
285.723	5.239167	281.5359	0	3						0.6440433	0.1625602	356.0426	
285.746	5.262588	281.5594	0	3						0.5958473	359.2875	356.1434	
285.769	5.284439	281.5812	0	3						0.5958709	358.112	356.202	
285.792	5.308043	281.6048	0	3						0.5646514	356.721	356.2464	
285.813	5.329952	281.6267	0	3						0.4448887	355.453	356.2768	
285.840	5.355782	281.6526	0	3						0.3223976	355.0557	356.1557	
285.860	5.375934	281.6727	0	3						0.0861171	356.7933	355.7801	
285.882	5.398105	281.6949	0	3						359.9904	0.02623093	355.957	
285.905	5.421393	281.7182	0	3						359.8181	5.314004	356.1131	
285.928	5.444356	281.7411	0	3						359.5629	11.31529	355.9573	
285.949	5.466042	281.7628	0	3						359.3857	17.91256	355.614	
285.972	5.489322	281.7861	0	3						359.3315	24.49557	355.3758	
285.993	5.509683	281.8065	0	3						359.4703	30.65001	355.1595	
286.016	5.533075	281.8299	0	3						359.5705	36.30288	355.0377	
286.040	5.556003	281.8528	0	3						359.8864	41.20559	354.9698	
